,City Name,Cloudiness,Humidity,Latitude,Temperature,Windiness
0,Narsaq,0,52,60.92,-9.0,1.0
1,Ancud,0,66,-41.87,17.24,2.91
2,Ushuaia,48,72,-54.8,5.66,9.26
3,Kapaa,1,49,22.08,23.07,9.8
4,Marsh Harbour,36,99,26.54,25.89,6.91
5,Longyearbyen,75,67,78.22,-6.0,4.1
6,San Cristobal,88,100,-0.9,22.49,5.36
7,Broken Hill,0,51,-31.95,21.61,2.06
8,Itaituba,0,72,-4.28,28.49,1.76
9,Preobrazheniye,0,59,42.9,-21.99,1.06
10,Riyadh,0,45,24.69,1.64,1.21
11,Bluff,44,99,-46.6,16.36,4.51
12,Vaini,75,66,-21.2,29.0,2.76
13,Isangel,92,100,-19.55,23.31,2.81
14,Carnarvon,0,90,-24.87,23.56,8.96
15,Blois,90,93,47.58,5.76,1.46
16,Chokurdakh,88,86,70.63,-9.17,2.06
17,Guerrero Negro,76,53,27.98,22.26,1.31
18,Fortuna,1,58,40.6,16.64,2.1
19,Saldanha,0,54,-33.01,20.89,6.56
20,Rikitea,88,100,-23.12,24.61,4.21
21,Nouadhibou,0,36,20.93,24.0,8.7
22,Lagoa,76,95,39.05,19.56,7.96
23,Mahebourg,92,88,-20.41,24.14,4.66
24,Namatanai,92,100,-3.67,27.31,5.71
25,Tazovskiy,92,91,67.47,-5.42,7.31
26,Gouyave,88,100,12.16,26.64,8.86
27,Bredasdorp,76,90,-34.53,18.84,11.41
28,Jawala Mukhi,0,70,31.88,5.16,0.41
29,Baghdad,24,59,33.34,11.84,6.21
30,Jamestown,88,100,-15.94,20.09,6.61
31,Port Alfred,88,100,-33.59,18.39,6.91
32,Hambantota,80,100,6.12,24.64,2.11
33,Chuy,32,86,-33.7,18.01,5.41
34,Aden,0,98,12.78,26.39,6.26
35,Aparecida do Taboado,68,85,-20.09,25.99,0.36
36,Laguna,92,100,-28.48,21.34,6.16
37,Nalut,20,87,31.87,3.39,2.56
38,Albany,32,80,-35.02,15.89,4.06
39,Saint George,24,100,32.38,20.56,4.71
40,Cape Town,12,83,-33.93,18.39,11.51
41,Hobart,75,67,-42.88,14.0,1.0
42,Puerto Madryn,8,49,-42.77,23.26,10.41
43,Mogok,0,89,22.92,10.01,0.86
44,Atuona,0,100,-9.8,27.09,7.36
45,Ponta do Sol,0,100,17.2,24.39,7.06
46,Opuwo,20,56,-18.06,20.81,1.81
47,Port Hardy,75,87,50.7,6.0,3.1
48,Tuktoyaktuk,40,91,69.45,-18.0,2.1
49,Verkhnevilyuysk,24,78,63.45,-38.99,1.31
50,Flinders,68,96,-34.58,17.24,2.66
51,Cherskiy,80,87,68.75,-13.99,1.11
